"pid","grp","duration","entry","exit"
11,"inactive",26,0,21
13,"inactive",25,0,20
14,"inactive",25,0,20
24,"inactive",26,0,21
31,"inactive",25,0,20
39,"inactive",25,1,20
44,"inactive",29,1,24
46,"inactive",32,1,27
49,"inactive",26,1,21
50,"inactive",32,1,27
59,"inactive",31,1,26
73,"inactive",36,2,31
74,"inactive",29,2,24
85,"inactive",36,2,31
92,"inactive",32,2,27
95,"inactive",32,2,27
96,"inactive",36,2,31
104,"inactive",36,3,31
134,"inactive",43,4,38
147,"inactive",40,4,35
151,"inactive",46,4,41
155,"inactive",42,4,37
163,"inactive",44,4,39
165,"inactive",42,4,37
172,"inactive",45,5,40
176,"inactive",45,5,40
186,"inactive",44,5,39
200,"inactive",46,5,41
210,"inactive",47,5,42
220,"inactive",51,6,46
224,"inactive",47,6,42
234,"inactive",51,6,46
235,"inactive",53,6,48
237,"inactive",55,6,50
267,"inactive",54,7,49
271,"inactive",57,8,52
273,"inactive",52,8,47
275,"inactive",57,8,52
287,"inactive",56,8,51
288,"inactive",56,8,51
313,"inactive",58,10,53
317,"inactive",62,10,57
324,"inactive",60,10,55
326,"inactive",66,10,61
327,"inactive",66,10,61
331,"inactive",61,10,56
355,"inactive",64,11,59
356,"inactive",66,11,61
364,"inactive",66,11,61
372,"inactive",76,11,71
373,"inactive",73,11,68
376,"inactive",67,12,62
389,"inactive",72,12,67
390,"inactive",73,12,68
396,"inactive",70,12,65
402,"inactive",74,12,69
404,"inactive",71,12,66
405,"inactive",79,12,74
406,"inactive",74,12,69
411,"inactive",76,13,71
414,"inactive",69,13,64
422,"inactive",74,13,69
428,"inactive",76,13,71
429,"inactive",81,13,76
451,"inactive",76,14,71
457,"inactive",87,14,82
459,"inactive",79,15,74
460,"inactive",78,15,73
467,"inactive",77,15,72
470,"inactive",81,15,76
472,"inactive",83,15,78
480,"inactive",83,16,78
481,"inactive",78,16,73
487,"inactive",88,16,83
488,"inactive",79,16,74
493,"inactive",88,16,83
496,"inactive",84,16,79
504,"inactive",83,16,78
517,"inactive",89,17,84
525,"inactive",86,17,81
532,"inactive",88,17,83
541,"inactive",89,18,84
547,"inactive",89,18,84
548,"inactive",89,18,84
549,"inactive",92,18,87
581,"inactive",95,19,90
595,"inactive",101,19,96
606,"inactive",100,20,95
612,"inactive",97,20,92
613,"inactive",100,20,95
616,"inactive",100,20,95
625,"inactive",101,20,96
632,"inactive",102,21,97
636,"inactive",105,21,100
637,"inactive",100,21,95
651,"inactive",99,21,94
652,"inactive",103,21,98
673,"inactive",102,22,97
693,"inactive",110,22,105
715,"inactive",113,23,108
716,"inactive",116,23,111
726,"inactive",110,23,105
730,"inactive",113,23,108
735,"inactive",113,24,108
740,"inactive",113,24,108
744,"inactive",121,24,116
747,"inactive",112,24,107
770,"inactive",122,25,117
778,"inactive",116,25,111
783,"inactive",118,25,113
789,"inactive",117,25,112
792,"inactive",118,25,113
796,"inactive",124,25,119
